 [*] Building advantage function...
 [*] Building policy function...
 [*] Building natural gradient...
 [*] Building summaries...
 [*] Model built finished
 [*] Reading checkpoints...
 [*] Failed to find a checkpoint
Global-step 39 --Accept update with alpha=1.0, kl=6.106108951797751e-09, old=-1.1190752983093262, new=-1.1190786361694336
Global-step 39 --Accept update with alpha=1.0, kl=7.649028632705779e-10, old=-1.1190752983093262, new=-1.1190775632858276
Global-step 40 --Accept update with alpha=1.0, kl=3.827608896500578e-09, old=-1.1797865629196167, new=-1.1797945499420166
Global-step 42 --Accept update with alpha=1.0, kl=1.5305955614053346e-08, old=-2.9908318519592285, new=-2.990861177444458
Global-step 42 --Accept update with alpha=1.0, kl=1.592283815909923e-08, old=-2.9908318519592285, new=-2.990872859954834
Global-step 42 --Accept update with alpha=1.0, kl=8.644752824693569e-08, old=-2.9908318519592285, new=-2.9909286499023438
Global-step 42 --Accept update with alpha=1.0, kl=9.017094981800255e-08, old=-2.9908318519592285, new=-2.9909212589263916
Global-step 42 --Accept update with alpha=1.0, kl=1.4951018201259103e-08, old=-2.9908318519592285, new=-2.990870714187622
Global-step 43 --Accept update with alpha=1.0, kl=2.060625625688317e-08, old=-2.934844732284546, new=-2.9348716735839844
Global-step 43 --Accept update with alpha=1.0, kl=7.323829098737633e-09, old=-2.934844732284546, new=-2.9348626136779785
Global-step 43 --Accept update with alpha=1.0, kl=2.8112536298863233e-08, old=-2.934844732284546, new=-2.934908866882324
Global-step 43 --Accept update with alpha=1.0, kl=5.552409643172496e-09, old=-2.934844732284546, new=-2.9348621368408203
Global-step 43 --Accept update with alpha=1.0, kl=9.421423641242654e-08, old=-2.934844732284546, new=-2.934953212738037
Global-step 43 --Accept update with alpha=1.0, kl=4.196825287294814e-08, old=-2.934844732284546, new=-2.9349236488342285
Global-step 43 --Accept update with alpha=0.00390625, kl=8.579951121323939e-14, old=-2.934844732284546, new=-2.934844970703125
